driver_name,number,milliseconds,lap,position,race_name,team_name
Valtteri Bottas,77,71454,1,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69441,2,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69598,3,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69592,4,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69159,5,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69386,6,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69051,7,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69185,8,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69357,9,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69457,10,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69407,11,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69649,12,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69333,13,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69547,14,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69300,15,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69417,16,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69224,17,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69049,18,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69260,19,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69512,20,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69699,21,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69847,22,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,69617,23,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,70405,24,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,70149,25,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,84118,26,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,122933,27,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,110849,28,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,115283,29,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,113743,30,1,Austrian Grand Prix,Mercedes
Valtteri Bottas,77,68736,31,1,Austrian Grand Prix,Mercedes
