name,position,year,round
L. Hamilton,1,2008,1
N. Rosberg,3,2008,1
F. Alonso,4,2008,1
K. Räikkönen,8,2008,1
S. Vettel,,2008,1
K. Räikkönen,1,2008,2
L. Hamilton,5,2008,2
F. Alonso,8,2008,2
N. Rosberg,14,2008,2
S. Vettel,,2008,2
K. Räikkönen,2,2008,3
N. Rosberg,8,2008,3
F. Alonso,10,2008,3
L. Hamilton,13,2008,3
S. Vettel,,2008,3
K. Räikkönen,1,2008,4
L. Hamilton,3,2008,4
N. Rosberg,,2008,4
F. Alonso,,2008,4
S. Vettel,,2008,4
L. Hamilton,2,2008,5
K. Räikkönen,3,2008,5
F. Alonso,6,2008,5
N. Rosberg,8,2008,5
S. Vettel,17,2008,5
L. Hamilton,1,2008,6
S. Vettel,5,2008,6
K. Räikkönen,9,2008,6
F. Alonso,10,2008,6
N. Rosberg,,2008,6
S. Vettel,8,2008,7
N. Rosberg,10,2008,7
F. Alonso,,2008,7
K. Räikkönen,,2008,7
L. Hamilton,,2008,7
K. Räikkönen,2,2008,8
F. Alonso,8,2008,8
L. Hamilton,10,2008,8
S. Vettel,12,2008,8
N. Rosberg,16,2008,8
L. Hamilton,1,2008,9
K. Räikkönen,4,2008,9
F. Alonso,6,2008,9
N. Rosberg,9,2008,9
S. Vettel,,2008,9
L. Hamilton,1,2008,10
K. Räikkönen,6,2008,10
S. Vettel,8,2008,10
N. Rosberg,10,2008,10
F. Alonso,11,2008,10
K. Räikkönen,3,2008,11
F. Alonso,4,2008,11
L. Hamilton,5,2008,11
N. Rosberg,14,2008,11
S. Vettel,,2008,11
L. Hamilton,2,2008,12
S. Vettel,6,2008,12
N. Rosberg,8,2008,12
K. Räikkönen,,2008,12
F. Alonso,,2008,12
L. Hamilton,3,2008,13
F. Alonso,4,2008,13
S. Vettel,5,2008,13
N. Rosberg,12,2008,13
K. Räikkönen,18,2008,13
S. Vettel,1,2008,14
F. Alonso,4,2008,14
L. Hamilton,7,2008,14
K. Räikkönen,9,2008,14
N. Rosberg,14,2008,14
F. Alonso,1,2008,15
N. Rosberg,2,2008,15
L. Hamilton,3,2008,15
S. Vettel,5,2008,15
K. Räikkönen,15,2008,15
F. Alonso,1,2008,16
K. Räikkönen,3,2008,16
S. Vettel,6,2008,16
N. Rosberg,11,2008,16
L. Hamilton,12,2008,16
L. Hamilton,1,2008,17
K. Räikkönen,3,2008,17
F. Alonso,4,2008,17
S. Vettel,9,2008,17
N. Rosberg,15,2008,17
F. Alonso,2,2008,18
K. Räikkönen,3,2008,18
S. Vettel,4,2008,18
L. Hamilton,5,2008,18
N. Rosberg,12,2008,18
K. Räikkönen,1,2007,1
F. Alonso,2,2007,1
L. Hamilton,3,2007,1
N. Rosberg,7,2007,1
F. Alonso,1,2007,2
L. Hamilton,2,2007,2
K. Räikkönen,3,2007,2
N. Rosberg,,2007,2
L. Hamilton,2,2007,3
K. Räikkönen,3,2007,3
F. Alonso,5,2007,3
N. Rosberg,10,2007,3
L. Hamilton,2,2007,4
F. Alonso,3,2007,4
N. Rosberg,6,2007,4
K. Räikkönen,,2007,4
F. Alonso,1,2007,5
L. Hamilton,2,2007,5
K. Räikkönen,8,2007,5
N. Rosberg,12,2007,5
L. Hamilton,1,2007,6
K. Räikkönen,5,2007,6
F. Alonso,7,2007,6
N. Rosberg,10,2007,6
L. Hamilton,1,2007,7
F. Alonso,2,2007,7
K. Räikkönen,4,2007,7
S. Vettel,8,2007,7
N. Rosberg,16,2007,7
K. Räikkönen,1,2007,8
L. Hamilton,3,2007,8
F. Alonso,7,2007,8
N. Rosberg,9,2007,8
K. Räikkönen,1,2007,9
F. Alonso,2,2007,9
L. Hamilton,3,2007,9
N. Rosberg,12,2007,9
F. Alonso,1,2007,10
L. Hamilton,9,2007,10
K. Räikkönen,,2007,10
N. Rosberg,,2007,10
L. Hamilton,1,2007,11
K. Räikkönen,2,2007,11
F. Alonso,4,2007,11
N. Rosberg,7,2007,11
S. Vettel,16,2007,11
K. Räikkönen,2,2007,12
