team,fill,outline
Mercedes,#00D2BE,#FFFFFF
Ferrari,#C00000,#FFFFFF
Red Bull,#0600EF,#FFFFFF
Renault,#FFF500,#FFFFFF
Haas F1 Team,#787878,#FFFFFF
Racing Point,#F596C8,#FFFFFF
AlphaTauri,#FFFFFF,#8C8C8C
McLaren,#C0C0C0,#FFFFFF
Alfa Romeo,#960000,#FFFFFF
Williams,#0082FA,#FFFFFF
Toro Rosso,#469BFF,#FFFFFF
Force India,#F596C8,#FFFFFF
Sauber,#FFFFFF,#0082FA
Jordan,#FFFF00,#000000
Toyota,#FFFFFF,#CC2229
Jaguar,#004225,#FFFFFF
BAR,#001B65,#FFFFFF
Honda,#FFFFFF,#001B65
BMW Sauber,#FFFFFF,#0082FA
Spyker,#FD7F2D,#FFFFFF
Brawn,#EBFC53,#FFFFFF
Lotus F1,#173E25,#FFF200
